Sample Size,Unique Items,Apriori Time,Apriori Rules,Brute-Force Time,Brute-Force Rules
5000,250,1.2884840965270996,1418,5.192898988723755,148
10000,250,2.4110019207000732,1119,6.008755922317505,126
15000,250,4.47633695602417,1260,6.779962062835693,134
20000,250,5.851503849029541,1261,7.520691871643066,124
